date,dataset_name,r_runs,n_pop,n_iters,chaotic_constant,repair_solution,execution_time,execution_time_std,wa,wf,mean_accuracy,std_accuracy,mean_gamma,std_gamma,mean_c,std_c,mean_n_features,std_n_features,TP,TP_std,FP,FP_std,TN,TN_std,FN,FN_std
2024-02-27 13:42:58,Breast Cancer Wisconsin (Diagnostic),10.0,5.0,20.0,False,False,0.5989,0.069,0.8,0.2,98.0,2.2768,51.1222,29.5128,53.372,21.7222,3.0,1.0,89.0,3.0,2.0,3.0,49.0,1.0,0.0,1.0
2024-02-27 13:46:58,Breast Cancer Wisconsin (Diagnostic),10.0,5.0,20.0,True,False,0.7,0.0431,0.8,0.2,97.2143,4.6451,39.6425,31.8589,55.585,34.5047,3.0,1.0,89.0,2.0,2.0,2.0,47.0,5.0,2.0,5.0
2024-02-27 13:54:44,Mushroom,10.0,5.0,20.0,False,False,16.7162,7.6966,0.8,0.2,98.9477,1.092,61.1414,19.9372,58.119,30.9771,6.0,1.0,824.0,6.0,3.0,6.0,784.0,15.0,14.0,15.0
2024-02-27 13:59:08,Mushroom,10.0,5.0,20.0,True,False,19.5148,3.1603,0.8,0.2,97.76,5.5674,45.7989,18.9599,37.7392,28.2218,9.0,2.0,825.0,5.0,2.0,5.0,764.0,86.0,34.0,86.0
2024-02-27 15:47:19,Spambase,10.0,5.0,20.0,False,False,65.6585,7.143,0.8,0.2,99.8154,0.1686,78.5254,14.9343,52.2545,20.3567,22.0,5.0,575.0,0.0,0.0,0.0,344.0,1.0,2.0,1.0
2024-02-27 16:04:40,Spambase,10.0,5.0,20.0,True,False,69.6287,2.3697,0.8,0.2,99.4788,0.4851,70.5998,23.5939,39.6667,21.7351,24.0,3.0,574.0,1.0,0.0,1.0,342.0,4.0,4.0,4.0
2024-02-27 16:05:27,Breast Cancer Wisconsin (Diagnostic),10.0,5.0,20.0,True,False,0.6512,0.05,0.5,0.5,97.8571,2.3035,42.1088,30.2275,46.6064,27.9114,3.0,1.0,89.0,2.0,2.0,2.0,48.0,2.0,1.0,2.0
2024-02-27 16:22:51,Mushroom,10.0,5.0,20.0,True,False,20.0541,2.4343,0.5,0.5,99.3723,0.6746,43.1747,31.5544,56.4263,32.8559,9.0,2.0,826.0,1.0,1.0,1.0,789.0,11.0,9.0,11.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 16:36:40,Spambase,10.0,5.0,20.0,True,False,69.2127,4.3245,0.5,0.5,99.4463,0.5734,49.7297,30.8315,46.7538,25.7735,25.0,3.0,574.0,2.0,1.0,2.0,342.0,5.0,4.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 16:52:43,Spambase,10.0,5.0,20.0,True,False,19.4743,0.7857,0.8,0.2,94.0717,0.8943,0.0074,0.0022,70.132,23.8854,29.0,3.0,557.0,5.0,18.0,5.0,310.0,7.0,36.0,7.0
,,,,,,